id,split,valence,arousal,dominance,text,clean_text,sentiment_score,sentiment_label,EMI,Manipulation_Level
110CYL068_1036_1079,train,3.0,3.0,3.2,"Remember what she said in my last letter? """,remember said last letter,0.0,Neutral,0.2,Non-Manipulative
110CYL068_1079_1110,test,2.8,3.1,2.8,If I wasn't working here.,working,0.0,Neutral,0.2,Non-Manipulative
110CYL068_1127_1130,train,3.0,3.0,3.0,"..""",,0.0,Neutral,0.2,Non-Manipulative
110CYL068_1137_1188,train,3.44,3.0,3.22,Goodwill helps people get off of public assistance.,goodwill helps people get public assistance,0.3818,Positive,0.42908,Moderately Manipulative
110CYL068_1189_1328,train,3.55,3.27,3.46,Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.,sherry learned future works class could rise mire welfare system support family,0.4019,Positive,0.44114000000000003,Moderately Manipulative
110CYL068_1475_1558,train,3.6,3.3,3.8,Coming to Goodwill was the first step toward my becoming totally independent.,coming goodwill first step toward becoming totally independent,0.0,Neutral,0.2,Non-Manipulative
110CYL068_1559_1601,train,3.0,3.0,3.1,"I am now... totally off of welfare.""",totally welfare,0.0,Neutral,0.2,Non-Manipulative
110CYL068_1608_1658,train,3.1,3.1,3.1,Goodwill prepares people for life-long employment.,goodwill prepares people employment,0.0,Neutral,0.2,Non-Manipulative
110CYL068_163_275,train,3.25,2.88,3.0,"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli.",another story success might seem like unlikely source goodwill controller juli,0.7351,Positive,0.6410600000000001,Highly Manipulative
110CYL068_1659_1810,train,3.25,3.0,3.25,Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.,cornell found number employment options never dreamed existed injury forced job foundry,-0.0946,Negative,0.25676000000000004,Non-Manipulative
110CYL068_1811_1946,dev,3.25,2.88,3.12,"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """,trained desktop publishing combined enthusiastic work ethic skills burgeoning,0.4939,Positive,0.49634,Moderately Manipulative
110CYL068_18_24,train,3.0,2.62,3.0,"Dear ,",dear,0.3818,Positive,0.42908,Moderately Manipulative
110CYL068_1946_1997,test,3.27,3.36,3.36,"I've got more than a job; I've got a career.""",got job got career,0.0,Neutral,0.2,Non-Manipulative
110CYL068_2040_2141,train,3.57,3.29,3.29,"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """,lifetime trials donna earned ged goodwill earned job,0.0,Neutral,0.2,Non-Manipulative
110CYL068_2141_2194,train,2.88,3.0,3.25,I rode a bike to Goodwill in the rain and snow.,rode bike goodwill rain snow,0.0,Neutral,0.2,Non-Manipulative
110CYL068_2195_2216,train,2.7,3.3,2.9,I wanted to be there.,wanted,0.0,Neutral,0.2,Non-Manipulative
110CYL068_2216_2266,train,3.5,3.5,3.75,"..I had my second chance to change my life.""",second chance change life,0.25,Positive,0.35000000000000003,Moderately Manipulative
110CYL068_2273_2373,train,3.63,3.25,3.37,Your gift to Goodwill will help the many people who want to tell their own stories of success.,gift goodwill help many people want tell stories success,0.8625,Positive,0.7175,Highly Manipulative
110CYL068_2374_2413,train,3.7,3.4,3.3,Your support will help them go to work.,support help go work,0.6597,Positive,0.59582,Moderately Manipulative
110CYL068_2420_2501,train,3.5,3.4,3.2,Please use the enclosed envelope to give a generous gift to Goodwill today!,please use enclosed envelope give generous gift goodwill today,0.8176,Positive,0.69056,Highly Manipulative
110CYL068_2508_2518,train,3.14,2.86,3.14,"Sincerely,",sincerely,0.4767,Positive,0.48602,Moderately Manipulative
110CYL068_2525_2582,train,3.1,2.5,3.2,"William A Carter, Chairman Goodwill Industries Foundation",william carter chairman goodwill industries foundation,0.0,Neutral,0.2,Non-Manipulative
110CYL068_2589_2593,train,3.0,2.43,3.0,P.S.,,0.0,Neutral,0.2,Non-Manipulative
110CYL068_2594_2642,train,3.5,2.87,3.25,Your gift is a wise investment in the community.,gift wise investment community,0.7184,Positive,0.63104,Highly Manipulative
110CYL068_2643_2750,train,3.88,3.37,3.38,"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102.",every dollar donated goodwill helped graduates earn estimated,0.0,Neutral,0.2,Non-Manipulative
110CYL068_2751_2841,train,3.25,3.12,3.25,"That money was then spent in a variety of ways, adding fuel to our thriving economy.",money spent variety ways adding fuel thriving economy,0.0,Neutral,0.2,Non-Manipulative
110CYL068_276_386,dev,3.7,3.1,3.3,"She tells me that the 3,666 people we helped find jobs in 1998 earned approximately $49 million dollars.",tells people helped find jobs earned approximately million dollars,0.0,Neutral,0.2,Non-Manipulative
110CYL068_31_156,train,3.4,3.0,3.1,A few months ago you received a letter from me telling the success stories of people who got jobs with Goodwill's help.,months ago received letter telling success stories people got jobs goodwill help,0.7506,Positive,0.6503600000000002,Highly Manipulative
110CYL068_387_522,train,3.37,3.18,3.37,"In addition to that, by helping them find jobs, Goodwill reduced the state's Public Support tab by an estimated $4 million.",addition helping find jobs goodwill reduced state public support tab estimated million,0.5994,Positive,0.55964,Moderately Manipulative
110CYL068_523_653,train,3.6,2.9,3.4,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.,gift goodwill help us even year gift used directly support work,0.8807,Positive,0.7284200000000001,Highly Manipulative
110CYL068_660_695,train,3.0,2.55,2.82,What kind of work does Goodwill do?,kind work goodwill,0.5267,Positive,0.5160199999999999,Moderately Manipulative
110CYL068_702_771,train,3.29,3.0,3.0,Goodwill finds jobs for people with mental and physical disabilities.,goodwill finds jobs people mental physical disabilities,0.0,Neutral,0.2,Non-Manipulative
110CYL068_778_1035,train,3.43,3.29,3.29,"After Maureen's job coach taught her how to do her job in a restaurant, we helped Maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society.",maureen job coach taught job restaurant helped maureen step shadow sometimes cast people physical mental disabilities find fulfilling job smack dab middle society,0.0,Neutral,0.2,Non-Manipulative
110CYL069_1152_1284,train,3.6,3.2,3.2,"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community:",every time help someone find solution employment barrier positive effects radiate throughout community,0.7964,Positive,0.67784,Highly Manipulative
110CYL069_1285_1401,train,3.4,3.2,3.0,"The business community welcomes not only another worker, but a consumer with increased purchasing power.",business community welcomes another worker consumer increased purchasing power,0.5859,Positive,0.55154,Moderately Manipulative
110CYL069_1402_1477,train,3.0,2.9,3.2,Parents act as role models of self-sufficiency instead of dependency.,parents act role models instead dependency,0.0,Neutral,0.2,Non-Manipulative
110CYL069_1478_1554,train,3.12,3.0,3.0,Tax dollars that would have been spent on public assistance are saved.,tax dollars would spent public assistance saved,0.4215,Positive,0.4529,Moderately Manipulative
110CYL069_1561_1631,train,2.7,2.8,3.4,You and I know that solutions to difficult problems don't just happen.,know solutions difficult problems happen,-0.5423,Negative,0.52538,Moderately Manipulative
110CYL069_1638_1786,train,3.8,3.4,3.3,"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:",goodwill hard work staff benefit services produces kind inspiring results see every day,0.8316,Positive,0.6989600000000001,Highly Manipulative
110CYL069_1793_1857,dev,3.0,2.62,3.12,A Goodwill staff member addresses a group of welfare recipients:,goodwill staff member addresses group welfare recipients,0.0,Neutral,0.2,Non-Manipulative
